SongID,Title,AlbumID,Year
SOMZWCG12A8C13C480,"I Didn't Mean To",300848,0
SOCIWDW12A8C13D406,"Soul Deep",300822,1969
SOXVLOJ12AB0189215,"Amor De Cabaret",514953,0
SONHOTT12A8C13493C,"Something Girls",287650,1982
SOFSOCN12A8C143F5D,"Face the Ashes",611336,2007
SOYMRWW12A6D4FAB14,"The Moon And I (Ordinary Day Album Version)",41838,0
SOMJBYD12A6D4F8557,"Keepin It Real (Skit)",25824,0
SOHKNRJ12A6701D1F8,"Drop of Rain",8876,0
SOIAZJW12AB01853F1,"Pink World",358182,1984
SOUDSGM12AC9618304,"Insatiable (Instrumental Version)",692313,0
SOQHXMF12AB0182363,"Young Boy Blues",539081,0
SOKEJEJ12A8C13E0D0,"The Urgency (LP Version)",163874,0
SOMUYGI12AB0188633,"La Culpa",575792,0
SORAMLE12AB017C8B0,"Auguri Cha Cha",815863,0
SOBONFF12A6D4F84D8,"Tonight Will Be Alright",25811,1986
SOHUOAP12A8AE488E9,Floating,135122,1987
SOUQQEA12A8C134B1B,"High Tide",149958,0
SOILPQQ12AB017E82A,"Sohna Nee Sohna Data",535188,0
SOXLBJT12A8C140925,"Caught In A Dream",372309,2004
SOZVMJI12AB01808AF,"Synthetic Dream",541101,0
SOWTBJW12AC468AC6E,"Broken-Down Merry-Go-Round",605134,0
SOBEBDG12A58A76D60,"Kassie Jones",239740,0
SOZCTXZ12AB0182364,"Setanta matins",386995,0
SOBBUGU12A8C13E95D,"Setting Fire to Sleeping Giants",223365,2004
SOBLGCN12AB0183212,"James (Hold The Ladder Steady)",652784,1985
SOPSWQW12A6D4F8781,"Made Like This (Live)",45730,0
SOZQDIU12A58A7BCF6,Superconfidential,672016,0
SONYPOM12A8C13B2D7,"I Think My Wife Is Running Around On Me (Taco Hell)",160881,2005
SOBZBAZ12A6D4F8742,"Spanish Grease",59744,1997
SOVYKGO12AB0187199,"Crazy Mixed Up World",373723,1961
SOGNCJP12A58A80271,"Do You Finally Need A Friend",228326,1972
SOLLHMX12AB01846DC,"The Emperor Falls",463514,0
SOYTPEP12AB0180E7B,"Twist and Shout",643400,1964
SOGXHEG12AB018653E,"It Makes No Difference Now",663761,1992
SOOLYAZ12A6701F4A6,"Laws Patrolling (Album Version)",12882,0
SOGOSOV12AF72A285E,"¿Dónde va Chichi?",270281,1997
SOJXVAH12A8C139700,"Barking Dogs (From Piouhgd")"",244586,0
SOVXMTN12A8C135A18,"OUTE ENA EFHARISTO",157648,0
SORSECL12AB0182267,"Midnight Swim",644631,0
SOOGFBZ12AC3DF7FF2,"In A Subtle Way",730551,0
SOMSBGZ12AB018C4CB,Spin,709879,2007
SONYRZV12AB018AF70,"Burning In The Aftermath",706005,2003
SONQBUB12A6D4F8ED0,"Angie (1993 Digital Remaster)",42595,0
SOHGKJW12AC468A8BD,"Sabor Guajiro",782470,0
SOINBCU12A6D4F94C0,"Human Cannonball",28723,1995
SOTWVQT12A58A79650,"Glory Be",557761,2004
SOTSEJY12AB0180F56,Crossfire,417945,1992
SOTSETT12AB01863B8,"I Can't Be Satisfied",575531,2002
SOTUNMH12A6D4FA3E6,"Nashville Parthenon",234425,2006
SOEPPKB12AB018418B,"Cocain Ducks",505301,1995
SOGKIWV12A6D4F86C4,"Human Being",74655,1974
SOPHYIS12AAF3B35A3,"The More I See You",322532,2009
SOFHBAR12A6701D0FE,"Certain Things We Do",14592,1997
SOCPRKM12AB018A2FD,Forming,515081,1977
SOFGHAM12AB0186412,Mafuá,765750,0
SODHVES12A6701CE6B,"Driving Home For Christmas",17220,1986
SOXIATP12AAF3B2184,"Spooks In Space",617077,1966
SOGNQWU12A8AE4868F,"Tous Les Garçons Et Les Filles",278999,1985
SOYQOFI12A6D4F76E1,"Too Much Saturn",19601,1995
SOVOLGY12A6D4F822B,"Movement 4 [from Kiss] (Album Version)",38599,1997
SOMZCVH12AB0182B8E,Stream,619882,0
SONXJBL12AAF3B2C0C,"Make Me Over",618615,0
SOYWZTU12AB0180E26,"Deform (live)",681639,2000
SOLGHDZ12AB0183B11,"Wicker Chair",449471,2003
SOTNTNJ12AAA15FBD6,"An ti chans'",321356,0
SOXZXXV12AAF3B3A67,"I Will Love Again (JJ's Club Radio)",530141,0
SOPIKEG12A58291636,"Stickin In My Eye",104765,1992
SOIRNBO12AC468D207,"Ota kiinni",695158,0
SOSBDSF12AB0189007,"Entre Caníbales",509770,1990
SOIJXXM12A8C1416D6,"Rosemary Recalls",223779,1985
SOHMMMC12AB0181C42,"Sudanese Dance",466577,2000
SOVJXVJ12A8C13517D,"Where The Thunder Roars (Tales Of Wonder Album Version)",148547,0
SOFZCTA12AB0188D8F,"Wanna Be A Player",423012,1997
SOLRYQR12A670215BF,"Panama (Remastered Album Version)",7133,0
SOCHRXB12A8AE48069,"Let's Get It Started",358442,2004
SOKBBXO12A6701DEA0,Metal,15567,2000
SOWHYUG12A58A77FAB,"She Fell Away (2009 Digital Remaster)",413222,0
SOYSTDI12A6D4F6500,"Next Time",80578,0
SOOOROX12A6D4F8400,"It's My Party",26902,1963
SONSPZE12AB01819CE,"Complicate It",633532,2001
SOHWGFU12AB017B036,"Monde De Fou",435830,2005
SOQQVQJ12AB0185192,"Opus a Satana (Part 2)",495734,0
SODRHHD12AB0189F2A,"This Melody (Live)",664484,0
SOQGFVO12A8C13C8C3,"I'm Gone This Time",112851,0
SORABMD12A8C136672,"You Feel Good All Over",200689,2002
SOTUBVH12AB018D2EC,"Indian Love Call",682725,1990
SOMQAGT12A8C132DB4,"You Can Still Be Free",287804,1999
SOKLLOH12A67020F2C,"I Never Came",220917,2005
SONRLQH12AB017C232,Dixie,629785,0
SODDZAD12A6701DC4C,"Commercial Reign",11305,1990
SORENXV12A6701F61F,Hourglass,4967,0
SOYMMDY12AB01825B2,Wake,325335,0
SOJWQIP12A6D4F710A,"Caricia Y Herida",82932,0
SOOVOKS12AB017EE57,"Le tortillard",401583,0
SORWHWY12A6702038E,"WKYA (drop)",8552,2001
SOGYYLE12A8C13E5EA,Teräslintu,217058,0
SOITUXQ12AB0183AE9,"Now's The Time To Fall In Love",489673,0
SOTWEZZ12A8C142B60,"Grim Prospects (Gross Prospects - Bad Trip Remix)",475992,0
SOUVRGZ12A58A77F90,Mangos,495041,1961
SOBLTSM12A6D4F9EEA,"A Distant Voice",225610,0
SOUQVUD12A8C142DCE,"Openbare Weg",473710,2006
SOCRPDR12AB0185B75,"President Johnson",710902,2000
SOXVBVL12AF72A600C,"Lead Me Lord",341940,1995
SOIQHDR12AB01896C8,"Spontanous Combustion",766444,0
SODLSHA12AAF3B29F2,Choro,432406,0
SOAGHMH12AB0180285,"Ma Louise",546663,0
SORAVUP12AB018556E,"I Want You (Forever)",548374,1991
SOFXNQP12AB0184F1A,Hate,704183,1997
SOGQTRZ12A8C13C8B0,"I Can't Stop Loving You",307618,2005
SOBHVZQ12AC9618285,"Thank You Lord",784530,1985
SOYPBCY12AB0181EF3,"How Can You Call That Beautiful (Stewkey Vocal)",534470,0
SOWRLSY12AC4687694,"Cheatin' In The Next Room",599659,0
SOOGQWR12A8C142505,"Candy Man",372122,1971
SOJDYQY12AB0188C97,"I See The Boys Of Summer",577023,0
SOBHQUF12AB018B03E,"Three Is a Crowd",572855,0
SOFRAZJ12A8C143CDB,"On Bended Knee",523481,1994
SONNDHT12A8C13F20B,"My Four Reasons",219943,0
